group,gender,year_birth,total_orders,total_m,total_f,total_o,regency,abandoned_cars,recupered_cars,orders_3,orders_6,orders_9,campaing_subscribe,conversion,spent_category,Others,colina,la reina,macul,maipu,nunoa,penalolen,providencia,puente alto,puerto montt,punta arenas,rancagua,buy_campaing
0,1,1,2,0,162024,0,4,0,0,1,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,162000,0,8,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,4,0,160450,0,8,0,0,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,0,158850,0,3,0,0,0,1,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,3,1,0,158700,0,8,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,1,1,0,158290,0,8,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,3,2,0,158030,0,13,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,3,2,0,157300,0,7,0,0,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,3,0,154810,0,14,0,0,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,1,0,153627,0,5,0,0,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,4,0,153567,0,21,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,152950,0,0,0,0,1,1,1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,3,2,0,151490,0,8,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,150000,0,9,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,5,0,147980,0,6,1,1,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,147920,0,8,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,2,0,147780,0,21,1,1,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,145392,0,15,1,0,1,1,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,1,0,145360,0,5,0,0,0,1,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,144266,0,5,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,3,143850,0,0,7,1,1,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,3,0,143820,0,18,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,0,143530,0,9,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,3,0,143323,0,21,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,3,0,142930,0,6,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,3,83913,56142,0,3,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,3,0,139879,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,0,139750,0,10,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,139400,0,4,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,0,138880,0,7,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,3,3,0,137900,0,7,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,3,0,137750,0,9,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,3,0,137025,0,7,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,3,3,0,136610,0,7,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,4,0,136600,0,7,0,0,1,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,4,2,0,136460,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,3,0,69385,66948,7,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,136100,0,8,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,4,2,0,134996,0,5,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,0,134290,0,15,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,2,0,133900,0,5,2,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,133400,0,6,0,0,0,1,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,1,2,0,133155,0,9,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,3,0,132940,0,10,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,2,0,132670,0,14,2,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,3,0,131442,0,8,1,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,130140,0,7,0,0,1,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,4,2,0,130060,0,4,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,3,1,0,129700,0,8,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,4,0,128890,0,6,1,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,3,0,77930,49726,4,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,2,0,127597,0,9,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,3,0,126300,0,7,2,1,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,125455,0,21,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,125300,0,8,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,124661,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,124040,0,6,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,2,0,123971,0,18,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,0,123200,0,7,0,0,0,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,2,3,0,87840,35074,8,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,4,2,0,122400,0,2,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,122150,0,1,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,3,0,121840,0,5,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,3,3,0,121620,0,5,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,4,3,0,121550,0,8,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,0,120052,0,8,1,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,119720,0,7,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,3,1,0,119700,0,8,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,118000,0,9,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,2,0,117800,0,10,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,117800,0,7,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,117450,0,8,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,2,0,117110,0,9,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,0,116730,0,1,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,116542,0,4,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,116368,0,7,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,0,115458,0,6,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,3,1,0,114937,0,4,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,1,0,114911,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,3,0,114900,0,7,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,4,1,114390,0,0,4,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,114250,0,7,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,2,0,113684,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,2,0,113564,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,67800,45090,0,9,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,3,3,0,111142,0,10,1,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,110371,0,0,7,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,4,3,0,110054,0,5,0,0,1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,110050,0,7,1,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,109950,0,1,0,0,1,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,109371,0,9,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,108998,0,9,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,108937,0,1,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,2,0,107900,0,5,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,107580,0,4,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,3,0,107020,0,5,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,0,106800,0,0,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,106200,0,6,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,105860,0,6,0,0,0,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,4,2,0,105800,0,9,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,0,105574,0,15,1,1,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,0,105500,0,2,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,2,0,105263,0,5,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,4,1,0,105190,0,3,0,0,1,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,3,2,0,105125,0,7,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,2,0,105110,0,6,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,0,104762,0,4,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,0,0,15,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,3,25570,78610,0,6,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,4,104163,0,0,17,2,2,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,103250,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,0,103062,0,7,1,1,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,0,102950,0,7,0,0,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,4,4,0,102450,0,5,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,0,102322,0,2,0,0,1,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,3,1,0,101960,0,5,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1,2,1,0,101950,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,101932,0,7,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,0,101910,0,5,0,0,0,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,101880,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,2,0,101860,0,9,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,4,3,101544,0,0,9,0,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,1,0,101462,0,4,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,2,0,101340,0,5,0,0,0,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,1,0,101250,0,5,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,3,1,0,101250,0,6,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,2,0,100900,0,8,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
